"id","SFirstName","SLastName","espnID","backgroundPicture","youtube1","youtube2","twitter","picture1","picture2"
"45","Derrick","Favors","4257","sdut-derrick-favors.jpg","WawGfvVk-wQ","dOQF8fVETRs","https://twitter.com/dfavors14?lang=en",,
"46","Pau","Gasol","996","paugasol.jpg","ISYHoP_2Pfc","oaPmioFSqNw","https://twitter.com/paugasol",,
"47","Andre","Drummond","6585","drummond.jpg","8YuVwbx7b5M","bmRboGYuWZU","https://twitter.com/AndreDrummond",,
"48","Giannis","Antetokounmpo","3032977","20171021_GIANNIS.jpg","6kqJyuHgLMY","7kI_AtBdOuI","https://twitter.com/Giannis_An34",,
"49","Marc","Gasol","3206","marc-gasol.jpg","K5__q-dh0jQ","k4BvRPftUYs","https://twitter.com/MarcGasol",,
"50","J.J.","Redick","3024","jjredick.jpg","pvJDDfQzlLc","qSrMnNwcxi8","https://twitter.com/sixers?lang=en",,
"51","Victor","Oladipo","2527963","Victor_Oladipo.jpg","s8O-86-T2sI","au6KdnN_WIU","https://twitter.com/vicoladipo?lang=en",,
"52","Kevin","Love","3449","love.jpg","k-ov9XZzByA","2RkFMYdMQs4","https://twitter.com/kevinlove?lang=en",,
"53","Greg","Monroe","4260","gregmonroe.jpg","N4zslXEAmKc","ts7_TreZC5M","https://twitter.com/m10ose?lang=en",,
"54","Lou","Williams","2799","lou_williams_dribble_blue.jpg","uMgE4WqEZYM","KaBuIP9rSDI","https://twitter.com/TeamLou23",,
"55","Jordan","Clarkson","2528426","clarkson.jpg","HBLwh_PQgqo","gdnOWSNBJHs","https://twitter.com/JordanClarksons",,
"56","Al","Horford","3213","al-horford.jpg","hmWNY_ptl5s","lZrG6PUBvEg","https://twitter.com/Al_Horford",,
"57","Mike","Conley","3195","mike-conley3.jpg","i99HnD1yvug","9y0BlS2MM-s","https://twitter.com/mconley11",,
"58","Eric","Gordon","3431","eric-gordon.jpg","N27nUcp0ZKs","5tbVyUlwPEI","https://twitter.com/theofficialeg10?lang=en",,
"59","Tyreke","Evans","3983","tyreke.jpg","m5kuqSvR6Es","fPNp6rG7pAo","https://twitter.com/tyrekeevans?lang=en",,
"60","Nicolas","Batum","3416","batum.jpg","hbIUQKAZLdE","TE2FPyKcSiY","https://twitter.com/nicolas88batum?lang=en",,
